"jour_semaine","nb_visites","nb_visiteurs_uniques","duree_moyenne","pct_visites","indice_vs_moyenne"
"ven\.",2894,1334,256.873004857738,19.5421703018435,136.795192112904
"mer\.",2666,1179,267.388805409467,18.0025660071578,126.017962050105
"jeu\.",2452,1065,282.934942716858,16.5574988182862,115.902491728003
"mar\.",2404,978,276.618128409568,16.2333715983524,113.633601188466
"sam\.",2335,1171,321.22641509434,15.7674387196975,110.372071037882
"lun\.",1963,847,281.587455379908,13.2554527652103,92.7881693564724
"dim\.",95,92,542.178947368421,0.64150178945236,4.49051252616652
